
                                    144BBS.TXT
           US BBS's Supporting v.32, v.32bis, v.fc & v.34 CONNECTs

                         Compiled and Distributed by:
                      The DownTown BBS - Los Angeles, CA
                                (213) 484-0260
                  [3/12/24/96/14.4k v.32bis - Public Access]
         9600 v.32/14.4k v.32bis/14.4k HST/16.8 ZyXEL Lines Available

             See 144MDM.LST for Modem abbreviations used below.

  AC/Phone        BBS Name                        City       State  Modem
206-820-4771  10 Forward BBS              Seattle            WA     V32B
206-822-4615  SeaEast PC Exchange         Kirkland           WA     V32
206-822-7498  Silicon Harvest             Kirkland           WA     V32B
206-828-9600  East Side Chatline          Kirkland           WA     V32
206-830-9319  My Electronic Dungeon       Bremerton          WA     V32
206-854-5646  Northwest PC Link           Kent               WA     V32
206-854-8714  The Wee Hoose 2             Kent               WA     V32B
206-863-5877  The Racer's Edge            Sumner             WA     V32
206-869-4152  The Four Horsemen           Seattle            WA     V32B
206-869-4430  The Four Horsemen           Seattle            WA     V32B
206-882-0110  Alpine Trails Service       Bellevue           WA     V32B
206-888-9249  Sno-Valley S/W Exchange     North Bend         WA     V32
206-939-6337  NorthWest's Best BBS 1      Auburn             WA     V32B
206-939-6813  NorthWest's Best BBS 2      Auburn             WA     V32
206-939-7876  Racer's Edge                Sumner             WA     V32B
206-946-2656  Erotic Nirvana              Federal Way        WA     V32
206-957-1124  Norseman Conqueror BBS      Bellevue           WA     V32B
207-799-2374  The Lyons Den               So Portland        ME     V32
207-799-9080  GS Connection               Cape Elizabeth     ME     V32B
207-873-6075  Bits N' Bytes BBS #2        Winslow            ME     V32B
207-882-4152  The Nucleus                 Wiscasset          ME     V32B
207-941-0805  The Lobster Buoy 1          Bangor             ME     V32B
207-945-9346  The Lobster Buoy 2          Bangor             ME     V32B
208-368-0644  Medieval Times BBS          Boise              ID     V32
208-684-3526  SuperNET BBS of Idaho       Blackfoot          ID     VFC
208-772-6218  Norton's Alley Public       Hayden Lake        ID     V32B
209-225-6824  Dark Side of the Moon       Fresno             CA     V32
209-226-7162  Fresno Amiga eXchange       Fresno             CA     V32
209-233-7835  Maverick's Quodtegitur BBS  Calwa              CA     VFC
209-477-9502  Software Silo               Stockton           CA     V32
209-582-5177  Murr Barn BBS               Hanford            CA     V32
209-661-5355  West Coast Pyro Board       Madera             CA     V32
209-826-1900  The Haunted Castle BBS 1    Los Banos          CA     V32
209-826-1911  The Haunted Castle BBS 2    Los Banos          CA     V32
209-935-2494  West Valley BBS             Coalinga           CA     V32B
210-672-2219  The Ranger Station          Gonzales           TX     V32B
212-477-7072  The Braintree Bookshelf     New York           NY     V32
212-496-8324  Aardvark BBS                New York           NY     V32B
212-579-2869  Fordham Jesuit BBS          Bronx              NY     V32
212-627-0531  FPX2                        New York City      NY     VFC
212-734-1090  ACE BBS                     New York           NY     V32
212-777-8282  The File-Link BBS           Manhattan          NY     V32B
212-831-4920  Boom Boom BBS               New York           NY     V32
212-876-5885  AmerIServe                  New York           NY     V32
213-223-9285  PhotoPro! BBS               Los Angeles        CA     V32
213-224-3925  Puppet BBS                  Los Angeles        CA     V32B
213-225-5474  ThunderVolts BBS            Los Angeles        CA     V32B
213-293-0070  The Castle                  South Los Angeles  CA     V32B
213-387-5901  Little Angels PCB           Los Angeles        CA     V32B
213-484-0260  DownTown BBS                Los Angeles        CA     V32B
213-484-0314  DownTown BBS                Los Angeles        CA     V34
213-651-1730  KBBS                        Los Angeles        CA     V32B
213-654-7337  Charlatan's Cabin           Los Angeles        CA     V34
213-778-6450  Southside Info Exchange     Los Angeles        CA     V32B
213-779-3414  Collaboration BBS           Los Angeles        CA     V32
213-953-0066  The Castle BBS              Los Angeles        CA     V32B
213-962-2902  BSC BBS                     Los Angeles        CA     V32B
214-226-7911  Info-Squeeze BBS            Dallas-Fort Worth  TX     VFC
214-226-8260  Info-Squeeze BBS            Dallas-Fort Worth  TX     V32B
214-234-4952  Rabbit and Snake's BBS      Richardson         TX     V32
214-235-5288  The Lunatic Fringe BBS      Richardson         TX     V32B
214-235-7973  The Hitching Post           Richardson         TX     V32B
214-239-7607  The Chai Way                Dallas             TX     V32
214-258-1832  The Interocitor             Dallas             TX     V32
214-259-3366  Modem Addicts Anonymous     Irving             TX     V32B
214-306-8269  The Planet BBS              Dallas             TX     V32B
214-307-8119  Live-Wire                   Dallas             TX     V32
214-315-0420  ACCESS                      Lewisville         TX     V32B
214-423-6992  The P.I.G.                  Plano              TX     V32
214-436-8753  Code 3 BBS                  Lewisville         TX     V32B
214-437-3247  UTD Student Connection      Richardson         TX     V32B
214-458-2620  The Inns of Court           Dallas             TX     V32
214-487-9053  The Bailiwick 2             Garland            TX     V32B
214-487-9422  The Bailiwick 1             Garland            TX     V32B
214-492-5695  User To User #2             Dallas             TX     V32
214-492-6565  User To User #1             Dallas             TX     V32
214-495-5980  Shock Treatment BBS         Garland            TX     V32
214-517-8315  DIGITAL X-Connect           Plano              TX     V32B
214-517-8443  DIGITAL X-Connect           Plano              TX     V32B
214-542-6721  McKinney's Crypt RA-BBS     McKinney           TX     V32B
214-573-3649  The Blue Flame BBS          Dallas             TX     V32B
214-620-0192  HardWired                   Dallas             TX     V32
214-642-6071  Lost In Time BBS            Grand Prairie      TX     VFC
214-642-6095  Lost In Time BBS            Grand Prairie      TX     VFC
214-669-2960  Turbo Opus                  Dallas             TX     V32
214-680-2693  PC Help                     Richardson         TX     V32
214-699-7722  DILLIGAS BBS                Richardson         TX     VFC
214-771-3226  NCC-1701                    Rockwall           TX     V32B
214-881-2627  MY BBS                      Plano              TX     V32
214-881-2628  MY 2nd BBS                  Plano              TX     V32
214-923-2610  Ronin BBS                   Waxahachie         TX     V32B
214-938-2840  Ronin BBS                   Waxahachie         TX     V32B
214-988-0124  DeadHead's                  Grand Prairie      TX     V32B
215-233-3855  Ex Mansion BBS              Flourtown          PA     V32B
215-289-6940  Philadelphia Fire Films     Philadephia        PA     V32
215-295-2625  Mother(b)Board BBS          Morrisville        PA     V32B
215-322-9193  The Datamax                 Warminster         PA     V32
215-331-2590  Wombat's Wagon              Philadelphia       PA     V32B
215-365-8210  BDPA of Greater Philadelph  Philadelphia       PA     V32B
215-443-5830  V32C BBS                    Ivyland            PA     V32
215-443-7390  V32C BBS                    Ivyland            PA     V32B
215-491-9914  The Writer's Guild          Warrington         PA     V32B
215-493-5242  Bucks Telematics            Yardley            PA     V32
215-529-9501  The Solution II BBS 1       Richlandtown       PA     VFC
215-529-9591  The Solution II BBS 2       Richlandtown       PA     V32
215-538-9356  The Solution II BBS 3       Richlandtown       PA     V32
215-540-0141  The UnNamed BBS             Ambler             PA     V32
215-635-2341  StarLine                    Elkins Park        PA     V32
215-659-0711  Galileo's Grove Opus        Willow Grove       PA     V32
215-727-8085  Earl's Ex-XT Board          Philadelphia       PA     V32A
215-741-9893  The 32 Bit Bus BBS          Bensalem           PA     V32B
215-755-0166  The Batcave                 Philadelphia       PA     V32
215-785-0895  Refuge BBS                  Bristol            PA     V32B
215-788-4339  The Storm Front BBS         Croydon            PA     V32B
215-788-4662  The Storm Front BBS         Croydon            PA     V32B
215-848-5728  TRS-Link BBS                Philadelphia       PA     V32
215-923-8026  Cyberdrome                  Philadelphia       PA     V32B
215-938-1322  Opaque Prism BBS            Huntingdon Valley  PA     V32B
215-943-7479  True Pagan Wiccan Kin BBS   Levittown          PA     V32B
216-353-0110  The Down To Earth BBS       N Ridgeville       OH     VFC
216-356-1772  Nerd's Nook II              Rocky River        OH     V32B
216-381-3320  PC-Ohio                     Cleveland          OH     V32B
216-461-4639  OHIO Graphics               Cleveland          OH     V32B
216-461-5930  OHIO Graphics               Cleveland          OH     V32B
216-526-9489  AMCOM                       Cleveland          OH     V32
216-526-9490  AMCOM                       Cleveland          OH     V32
216-527-2186  The Odyssey BBS             Garrettsville      OH     V32B
216-545-2318  Steel Valley                Girard             OH     V32B
216-562-1110  West Branch Connection      Aurora             OH     V32B
216-593-4438  The Mad House BBS           Conneaut           OH     V32
216-674-0143  Valkyrie BBS                Millersburg        OH     V32B
216-674-0144  Valkyrie BBS                Millersburg        OH     V32B
216-691-3030  PC-Ohio                     Cleveland          OH     VFC
216-699-1547  Tribute Test Point          Uniontown          OH     V32B
216-823-6658  Night Moves                 Alliance           OH     V32
216-928-8565  Northampton Data ConneXion  Cuyahoga Falls     OH     V32B
216-946-3161  Dr. ZING'S                  Cleveland          OH     V32B
216-949-5581  Online BBS                  Sheffield Lake     OH     V32
216-951-6693  Dr. ZING'S                  Cleveland          OH     V32
216-992-4774  Mystic Rhythm BBS           Ashtabula          OH     V32
217-244-6954  The Check Source            Urbana             IL     V32
217-328-6015  StageDoor                   Urbana             IL     V32
217-359-6165  CappMail                    Champaign          IL     V32
217-367-8429  The Cloud Chamber           Urbana             IL     V32B
217-384-4311  Programmer's Toolbox        Urbana             IL     V32
217-398-2800  Wolfram Research Inc        Champaign          IL     V32
217-422-2585  Computer Corner             Decatur            IL     V32
217-425-7051  Smokin' Joe's               Decatur            IL     V32
217-774-5978  Hudson Softsides BBS        Shelbyville        IL     V32B
217-789-5970  BEC BBS 2                   Springfield        IL     V32
217-789-5971  BEC BBS 3                   Springfield        IL     V32
217-877-1138  2/3 Board                   Decatur            IL     V32
218-326-4205  Blue Sky BBS                Grand Rapids       MN     V32B
218-924-206   The Bertha BBS              Bertha             MN     V32B
218-924-2060  The Bertha BBS              Bertha             MN     V32B
219-234-4899  Ray's Dungeon Playroom BBS  South Bend         IN     V32B
219-262-0648  The SALT BBS                Elkhart            IN     V32B
219-262-1370  After Five' BBS             Elkhart            IN     V32
219-293-6465  Beta Connection             Elkhart            IN     V34
219-493-2193  New Files Express BBS       Fort Wayne         IN     V32B
219-696-3415  The Toolkit BBS             Lowell             IN     V32
219-744-0558  The Pool Room               Fort Wayne         IN     V32B
219-824-5628  The Jokerman BBS            Bluffton           IN     V32
219-923-2377  Datacom of Highland         Highland           IN     V32B
219-925-5524  The Loft                    Auburn             IN     V32
219-926-2060  Restoration Rock            Chesterton         IN     V32B
219-962-2132  The Right Choice BBS        Lake Station       IN     V32B
301 645-8624  Lighthouse II               Waldorf            MD     V32B
301-206-9162  The Flying PC AT            Montpelier         MD     V32B
301-262-9650  Money Matter$ BBS           Mitchellville      MD     V32
301-352-8900  A.S.C. Online               Bowie              MD     VFC
301-428-8998  The Addict's Attic          Germantown         MD     V32
301-460-9134  ENIAC                       Rockville          MD     V32
301-490-1935  Pro-Vue RBBS                Jessup             MD     V32
301-499-0896  Corp. Press                 Landover           MD     V32
301-593-9323  SilverSoft Micro            Silver Spring      MD     V32
301-596-1180  The Programmer's Corner     Columbia           MD     V32
301-627-4953  Pleasure Palace             Lothian            MD     V32
301-654-2969  Bit Stream BBS              Chevy Chase        MD     V32
301-670-9621  3 WINKs BBS                 Gaithersburg       MD     V32
301-718-4690  Europa BBS                  Chevy Chase        MD     V32
301-737-1786  John's Workshop             Lexington Park     MD     V32
301-776-8259  Brazen's Hell! BBS          Laurel             MD     V32B
301-779-8375  Bifrost                     Mount Rainier      MD     V32B
301-779-9381  Bifrost                     Mount Rainier      MD     V34
301-831-9012  Thunder Bay                 Mt Airy            MD     V32
301-869-7743  LexiCom                     Gaithersburg       MD     V32B
301-924-0398  Perspectives BBS            Greenbelt          MD     V32
301-949-1927  First Due BBS               Wheaton            MD     V32B
301-995-1134  The Programmer's Corner     Columbia           MD     V32
302-322-4863  Royal Castle BBS            New Castle         DE     V32A
302-323-1604  AmigaNetwork                New Castle         DE     V32
302-645-7264  Paradox BBS                 Rehoboth Beach     DE     V32
303-229-9719  HP-BBS (North)              Ft. Collins        CO     V32
303-238-0319  The Shy Peach BBS           Lakewood           CO     V32B
303-278-8369  Fantasy Mountain            Golden             CO     V32
303-289-6864  Midrash                     Denver             CO     V32
303-322-4078  CMOS-BBS                    Denver             CO     V32
303-337-0219  Right Angle BBS             Aurora             CO     V32B
303-343-4234  Information Society         Denver             CO     V32
303-343-4235  Information Society         Denver             CO     V32
303-361-6965  Fort Mac                    Aurora             CO     V32
303-367-9701  The Silver Hammer           Aurora             CO     V32
303-377-2371  Jaguar's Networking Labs    Denver             CO     V32
303-431-1404  Mile High BBS               Arvada             CO     V32
303-433-2648  Tommy's Toys BBS            Denver             CO     V32
303-443-8292  Adelante                    Boulder            CO     V32
303-449-5251  OnLine Consult              Estes Park         CO     V32
303-484-6483  The Temporal Alliance       Ft Collins         CO     V32
303-642-0703  Pinecliffe /V32'             Boulder            C     V32
303-651-7745  The Eighth Dimension        Longmont           CO     V32
303-652-3595  The Dinosaur Board          Niwot              CO     V32
303-665-6092  King's Market 2             Louisville         CO     V32B
303-678-8439  Knowledge Resource BBS      Longmont           CO     V32B
303-680-0509  The Peacock's Nest          Aurora             CO     V32B
303-752-9641  P-N-P BBS                   Aurora             CO     V32B
303-777-1357  RMGC                        Denver             CO     V32
303-831-1704  CO State Judicial BBS       Denver             CO     V32
303-840-9862  21st Century BBS            Parker             CO     V32B
303-841-9572  Rocky Mtn Info Exchange     Parker             CO     V32
303-933-2286  Boardwatch Magazine         Littleton          CO     V32
303-972-6575  Dehnbase                    Littleton          CO     V32
303-973-7852  SnarfQuest I                Denver             CO     V32
303-973-8554  Club Micro                  Littleton          CO     V32
304-264-0280  CASA West                   Martinsburg        WV     V32B
304-296-3649  The Back Door QBBS          Morgantown         WV     V32B
304-599-6083  The Full Spectrum           Morgantown         WV     V32B
304-733-1338  JNS Software Support BBS    Barboursville      WV     V32
304-757-0530  Miskatonic University       Hurricane          WV     V32
304-768-5036  21st Century Connection     Dunbar             WV     V32
304-776-5037  Hillbilly Haven Christian   Cross Lane         WV     V32
305-232-8000  Shareware Online            Miami              FL     V32
305-233-4196  The Library BBS             Miami              FL     V32B
305-238-6390  The Weatherman BBS          Miami              FL     V32B
305-378-2571  Metro Data Group BBS        Miami              FL     V32B
305-436-5070  The Data Center BBS         Pembroke Pines     FL     V34
305-444-5615  Coral Gables MEDTERM        Coral Gables       FL     V32B
305-467-6712  Nightmare BBS               Fort Lauderdale    FL     V32B
305-474-5383  Rock'n Roll Harbour         Deerfield          FL     V32
305-474-6429  Silicon Beach BBS           Fort Lauderdale    FL     V32
305-474-6560  Data Center BBS             Plantation         FL     V32B
305-523-1717  The DrawBridge              Fort Lauderdale    FL     V32
305-581-1248  The Unknown                 Fort Lauderdale    FL     V32B
305-621-0103  AMS Support                 Miami              FL     V32B
305-624-6631  Home of the 135 NEC         Miami              FL     V32B
305-642-0754  The Software Cuisine        Miami              FL     V32B
305-720-3307  Unique Connections          Tamarac            FL     V32
305-722-8037  The Pelican's Roost         Fort Lauderdale    FL     V32
305-755-0127  Waves in the Cesspool       Coral Springs      FL     V32B
305-979-2073  The Branch Office           Pompano Beach      FL     V32B
307-686-0940  Black Diamond BBS           Gillette           WY     V32
309-662-2017  Desktop Micro's BBS         Bloomington        IL     V32B
309-663-8354  Midwest InforNetwork        Bloomington        IL     V32B
309-664-0881  Adventurer's Corner         Normal             IL     VFC
309-691-5416  Buzzard's Roost             Peoria             IL     V32
309-694-7725  EPE Online                  East Peoria        IL     V32
309-755-8409  Quad City Amiga Forum       Moline             IL     V32
309-786-9518  The Ancient Mariner         Rock Island        IL     V32
309-788-9811  The Genealogy Workshop      Rock Island        IL     V32
309-828-6941  Prairie BBS                 Bloomington        IL     V32
310-204-3249  The I.B.S.A. BBS            Los Angeles        CA     V32B
310-204-6155  Camelot Private             Culver City        CA     V32
310-204-6158  Camelot Public              Culver City        CA     V32B
310-306-5134  Skeleton Crew BBS 1         Venice             CA     V32B
310-306-9775  Skeleton Crew BBS 2         Venice             CA     V32B
310-371-3737  Source BBS Public           Torrance           CA     V32B
310-376-2150  Kirks BBS                   Hermosa Beach      CA     V32
310-391-5302  The Mac Zone BBS            Los Angeles        CA     V32
310-391-7372  The Batchelor Pad           Mar Vista          CA     V32B
310-398-7804  Christ Connection           Los Angeles        CA     V32B
310-421-4788  Paradise Cove BBS           Long Beach         CA     V32
310-421-6766  One Stop Tech Shop BBS      Long Beach         CA     V32B
310-425-5710  AuSSie BBS                  Lakewood           CA     V32B
310-430-0079  Ground Zero                 Seal Beach         CA     V32
310-452-3374  The Xchange                 Los Angeles        CA     V32
310-459-1264  The LINK BBS                Los Angeles        CA     VFC
310-498-6346  The French Flyer BBS        Long Beach         CA     V32
310-527-7380  The Castle                  Gardena            CA     V32B
310-532-0278  Specta Graphix BBS          Carson             CA     V32B
310-542-0350  Source BBS Private          Torrance           CA     V32
310-545-7216  Ursa Major BBS              Manhattan Beach    CA     V32
310-558-0145  KBBS                        Culver City        CA     V32B
310-559-5333  West Los Angeles BBS        Los Angeles        CA     V32B
310-559-5334  West Los Angeles BBS        Los Angeles        CA     VFC
310-597-2235  The French Flyer BBS        Long Beach         CA     V32
310-630-7090  Equiping The Saints         Lakewood           CA     V32
310-676-2219  The Great Escape            Gardena            CA     V32B
310-676-3534  The Great Escape            Gardena            CA     V32B
310-676-4282  The Great Escape            Gardena            CA     V32B
310-806-2226  The Downey BBS              Downey             CA     V32
310-821-3027  Emeraldnet BBS              Venice             CA     VFC
310-827-8171  L.A. Computer Society BBS   Los Angeles        CA     V32
310-832-7702  At Last BBS!                San Pedro          CA     V32B
310-835-4800  AuSSie BBS                  San Pedro          CA     V32B
310-838-9229  West Los Angeles BBS        Los Angeles        CA     VFC
310-859-2453  Sleepy Hollow #2            Los Angeles        CA     V32
310-920-3631  The MegaByte System         Bellflower         CA     V32
310-927-8352  Arco Products BBS           South Gate         CA     V32B
312-263-0924  Assembly Not Needed         Chicago            IL     V32B
312-275-1785  20/20 TBBS                  Chicago            IL     V32
312-376-9872  The PUB                     Chicago            IL     V32
312-581-1111  Village Adult BBS           Chicago            IL     V32
312-583-1674  JBS-BBS                     Chicago            IL     V32B
312-594-0643  The Power Palace            Chicago            IL     V32B
312-631-2172  Equinox BBS System          Chicago            IL     V32B
312-665-7319  Home Again                  Chicago            IL     V32B
312-685-1136  Silent Circle BBS           Chicago            IL     V32
312-736-7526  Innovations BBS             Chicago            IL     V32
312-767-5787  The PUB DTP BBS!            Chicago            IL     V32B
312-767-6964  The PUB DTP BBS!            Chicago            IL     VFC
312-871-8426  ALTERNET BBS                Chicago            IL     V32B
313-232-7815  Flight of the Raven         Flint              MI     V32
313-264-7051  The Dart Board              Sterling Hts       MI     V32
313-268-0028  NIGHT Gallery II            Sterling Hts       MI     V32B
313-332-3625  Altair Business Systems     Pontiac            MI     V32
313-364-5157  HomePlate BBS               Marysville         MI     V32B
313-398-3078  Atari Advocate              Madison Heights    MI     V32
313-421-3254  The Abyss BBS               Livonia            MI     V32
313-429-2150  The Falcon's Lair           Saline             MI     V32B
313-435-7556  The Royal Joke              Royal Oak          MI     V32
313-521-0330  Facillium                   Detroit            MI     V32
313-584-1253  The Edge of Sanity          Dearborn           MI     V32
313-769-6346  Valhalla                    Ann Arbor          MI     V32B
313-775-6097  The Crash Landing           Roseville          MI     V32
313-795-0523  Horizons BBS                Sterling Hts       MI     V32
313-826-9411  Firebox Express 1           Sterling Heights   MI     V32B
313-826-9412  Firebox Express 2           Sterling Heights   MI     V32B
313-836-8275  CALnet @node.1              Detroit            MI     V32B
313-977-5880  Access Denied BBS           Sterling Hts       MI     V32
314-227-6885  Messianic Jewish CN1        St Louis           MO     V32
314-281-4362  The HARTZ Foundation        St. Peters         MO     V32
314-343-9736  DataCentral BBS             Fenton             MO     V32
314-436-0120  ISCBBS                      St Louis           MO     V32
314-537-9238  The Banana Republic BBS     Chesterfield       MO     V32
314-642-1890  Effie's BBS                 Fulton             MO     V32B
314-774-2736  Waynesville BBS             Waynesville        MO     V32
314-843-0001  EMC/80                      St Louis           MO     V32
314-896-5393  Summit Forum BBS            Holts Summit       MO     V32
314-928-7262  QwikCom                     St Charles         MO     V32
314-965-1385  Cheswick's                  St Louis           MO     V32
314-965-5296  Cheswick's BBS              St Louis           MO     V32
315-245-0510  Kadet PCBoard               Camden             NY     V32
315-245-3815  Kadet PCBoard               Camden             NY     V32
315-331-1556  T.O.I.L. BBS                Newark             NY     V32
315-339-6713  Odies PCBoard               Rome               NY     V32B
315-458-8602  Rivendell TAP/NA            Syracuse           NY     V32B
315-592-7300  Late Night BBS              Hannibal           NY     V32
315-593-1589  Backstreet BBS              Fulton             NY     V32
315-597-3439  Scolasticom                 Palmyra            NY     V32
315-673-4894  Shockwave Rider             Marcellus          NY     V32B
316-689-3779  TWSU BBS                    Wichita            KS     V32
316-689-3890  TWSU BBS                    Wichita            KS     V32
316-788-1907  The GraveYard BBS           Derby              KS     V32B
317-257-5882  INDY PC BBS                 Indianapolis       IN     V32
317-447-9653  Napierville File Exchange   Laffayette         IN     V32B
317-457-5957  Sudden Impact               Kokomo             IN     V32B
317-644-3039  The I.O. Board              Anderson           IN     V32B
317-784-8401  User Friendly BBS           Indianapolis       IN     V32B
317-849-4007  IndyServe                   Fishers            IN     V32
318-222-3455  The Pit                     Shreveport         LA     V32
318-235-3207  CajuNet                     Lafayette          LA     V32
318-345-0334  Direct Online System        Monroe             LA     V32
318-397-1822  Bayou BBS                   West Monroe        LA     VFC
318-397-2109  Bayou BBS                   West Monroe        LA     V32B
318-981-3373  The Lawboard                Lafayette          LA     V32B
318-988-1404  The Twilight Zone           Lafayette          LA     V32B
319-296-1393  Picture Gallery BBS         Washburn           IA     V32B
319-335-6409  ISCA                        Iowa City          IA     V32
319-337-9878  Icarus                      Iowa City          IA     V32
401-421-9614  ACME BBS                    Providence         RI     V32
401-539-8636  The Information Resource    Carolina           RI     V32B
401-725-7863  The Bloom Beacon            Pawtucket          RI     V32B
401-822-3060  ImageNet BBS                Coventry           RI     V32
402-291-2896  The Atomic Dustbin          Omaha              NE     V32
402-292-1360  EDGE                        Bellevue           NE     V32
402-593-1192  The Inns Of Court           Papillion          NE     V32
404-228-7524  Sharp's Corner              Griffin            GA     V32
404-256-9525  Sunrise-80 BBS              Atlanta            GA     V32
